Delegator Address,Validator Address,Staked Amount
0xd649b90486f988b67e6e37c1d8ce2219af0c9941,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,656840000000000000000
0x4e4a0137a5be2e3d639b874c2779b143b674df33,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,7700000000000000000
0x564ae597ad5dfa351c8aeb7e4ebda44b911ea1ec,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,2000000000000000000
0xeebb68d2ecf4c841d91b53f9a4899a5a8bcf80d0,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,1005000000000000000000
0x45f864d904f302f943bb715f4c1a02f030dd95b7,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9000000000000000000
0x6c5b66a9c20ab970ec9b86789a2e99d24bef830a,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9000000000000000000
0x1fa5f5c240596dab7a8bfb22ec181ba146877b4e,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9000000000000000000
0xbdbd069b992d13e9413add6a08817151a13f2543,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9000000000000000000
0xb60d8d5cc2c3f3db32268f52cb922aac03919b58,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,13000000000000000000
0x71ac9bfd279b46cf46b0e10ed439bee6019626e0,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9000000000000000000
0xe94cbadfaf30f329512e942cede26afc8b9d2da8,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9000000000000000000
0xa9b727807d516bb08042cd95b6c8ff7fce061da5,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9000000000000000000
0xdddd45b5535338b31775463c15fd413a3e7b0626,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,16380000000000000000
0x1809673ab22eb03a9666cc0a71a386fbe4c6c589,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9000000000000000000
0x9533ac855829fc99ef578d7e89fc6b394a5def6b,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,901916866306931860187
0x99187bea61e7f975ca87af51e5077ed667a6ebfa,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9000000000000000000
0xe6fbd37a261049eac87b717ab01f208f889e9a82,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9000000000000000000
0x009c70f94c75dcf0e13e10dfbdd7ca1adaf8400b,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,50000000000000000000
0xedfc3455072a6d5002e396f821f1c964b9354884,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0x72f8e7465b33fc849ccc932cd3082436368e4320,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0x81828615d81983812c2ecce0119b49e4af32e605,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,83000000000000000000
0x7edc5428e0772981efe211bad2482fa236436cc6,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,1676973573738286112
0x596b4ab5e6b1774daa7377ac378ebce3c27ea4ac,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,536481631568729266285
0x6a079532243a38f3ebfc39cddf9e18e29b530d01,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,212161682615191841976
0x0598f9bcc453f450a4627e60bee1dc1a230bb57f,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,500000000000000000000
0x8efde74030dee7509b505cc9ddbe234b901ea82a,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,57230000000000000000
0x3e08523564cf67e927e5f7a6b6b412e32b73f678,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,149000000000000000000
0xc6136b4e4d232dbfb94a461bba065c10a249ba5f,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,5000000000000000000000
0xf83653fa8ffe4b938af246bef0bf35f600042d8e,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0x413c28aa512bf156d3ec911e875ca9dfe88ef48a,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0x37bb28f791ff1fcdd6423c13f771206207b9e582,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,1000000000000000000
0xf70bd6dcb2a29b6bc9fe268ddcb3e9acd3e45efa,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,10000000000000000000
0x6f19b97c6e03c2d5d8d02b7f5a5c927d5a93b48a,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0x50f33e22bcaf808338a4a9bd622afe2852fbbd54,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,30000000000000000000
0x6f810309fa52b30946d4843bb7f98818abd81c26,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,49225400950143253516
0x285d129c6a8080de2be43e6790fae0d1416371f7,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,10000000000000000000
0xaf80836af8b609a411fbe38838fd34ebdf064b48,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0xd5f248a47bc3ab693c8846a781e688d01a0c3198,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,20000000000000000000
0x61759fb5255532f8f977d0a51b7037651becac74,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,50000000000000000000
0xf463987c79eb29673673ac2b2125430ddd2de884,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
