Delegator Address,Validator Address,Staked Amount
0x34d8c2e37a2f514ff8362e50475c8d065efd58e9,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,46000000000000000000
0x3ce72373bab44fc6eed61e347f055c87c491ac46,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,2000000000000000000
0xff25c7794b455108fa6aadee4091d0cd80d811d1,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,1000000000000000000
0xbb64acfe98d58b07996c4f099f7031dea3849286,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,1001000000000000000000
0xa9b6a0b166e29e40c09e8b882a8dfdeeb022eddd,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,8200000000000000000
0x810ff8df9fe80c733e4468c727aa6e97c206d5d5,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,1000000000000000000
0xabc5ce498b9a965da3f2af62cad30199f7ced258,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,73000000000000000000
0x4eccab8b08fa99c711c2d4d18ce37ccb9f7a82ba,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,73685006552532720262
0xf8fa0bb0798489445577fa7387dcb2125c361c28,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,4500000000000000000000
0x02565ccb5b48641808063bca489a3312c85d6ce9,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,101136557902667284968
0x0aa2337ab799d566b22d41573a83e5180014a945,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,1001000000000000000000
0xd0cf8880680978c286ee977d6ba2d26e7d44e507,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,401000000000000000000
0x42267f3158d747512d48dc6603bf84b122cf10bf,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,4948783144629256538
0x576bd27f74e4599d555316928be43e752edf4bfb,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,13959929978759798300
0xa4083e90430987139e468dc5c4f517bcb98d7d4b,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,8190170975739269348
0x35b0d749adf3b235acadf00877351d7177037493,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,2637475797211530045
0xe09e7e0eda76796709be8c0ec59ff24c352d4fb5,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,101000000000000000000
0xcf69f920dba190e3604540f391590c8f802932ac,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,1700000000000000000000
0x68b8d56b1c9a007e27278e78f110235d0368cd4c,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,2000000000000000000
0x029c6b641200d2ad447760f8a5a4d7154028b111,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,60000000000000000000
0x5c988b61644ec222dc1cfc1babc368c949f4dd02,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,48404064879829060243
0xdab2dd2ecac1bcee610f98c3fcfccbbf130e81ac,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,20908372921617541748
0xe56be973304dffc884538c3e170da1a196ad1fcd,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,24000000000000000000
0xbe0d6cf8c67718893e67e59d05355faee3acc38b,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0xfe19e2c62b5de3099021ff9c0e6dad0bf7f0ed4d,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0x705ed25d43b414da408175530ade968646b52557,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0x0c2f5a5931a9cd50c9d22832bd5748a6fee5f849,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,155000000000000000000
0xbd2e4e52b26dfa9a9e9087ac65ff0792a3cc6cad,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,210000000000000000000
0xde2254576ad38c9866cc96dff3b5ff771dc2dd32,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,10000000000000000000
0x429f76569e4759450dcb7acfa108b685c946ab0a,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9000000000000000000
0x4cd243747c64da5f161979cec20deff16e99aa2e,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,1031741885400136520
0x2da32a541d8ee9f83e61ec424be9cd3e6f42a460,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,11000000000000000000
0xef42574eb6589a1c1f0cfe1952d90cd3345797c6,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
