Token ID,Owner Address,Attribute original kanstar
85,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
86,0xFAf09FA86EC5de27349cB7B0aA167D43EE759054,Kanstar
87,0xd8D5E4CFd195c45300E18cB99bD841aF46aD3A5c,Kanstar
88,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
89,0x3Ce72373BAb44fC6Eed61e347f055c87c491ac46,Kanstar
90,0x898ec03947EF6b18d0064665FcD83CbEF7b92f96,Kanstar
91,0xA6a601Ce81cBD757B37AC44a5a5252026BfD6006,Kanstar
92,0xE9e03cD23d725c4a507B9341c1fC1E7319735021,Kanstar
93,0x8b1288D2b2e357d80EF8E01B1880D01f601e0917,Kanstar
94,0xE9e03cD23d725c4a507B9341c1fC1E7319735021,Kanstar
95,0x143eBF751e8d3fBd326E41f46E0E56EC5d368674,Kanstar
96,0x71635ddb7082a62c7DC6A5E91cBbd757C76f6B53,Kanstar
97,0x2bDaC036e7b81d2952A1D61DA98F55a17F52A30F,Kanstar
98,0x51422AA977464690f786db8ADC042394F5Ef6653,Kanstar
99,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
100,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
101,0x088771a64D950229020D91513A071F3429944261,Kanstar
102,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
103,0x9569dE40b97f0ffaF48b7CbA25997cFD89CE99D5,Kanstar
104,0x088771a64D950229020D91513A071F3429944261,Kanstar
105,0x55f1813589855039011985491D8c3e92F4b8217C,Kanstar
106,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
107,0x5342712163626F9D7A787E88De68e49e03B3be2e,Kanstar
108,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
109,0x088771a64D950229020D91513A071F3429944261,Kanstar
110,0x2bDaC036e7b81d2952A1D61DA98F55a17F52A30F,Kanstar
111,0x3EfF56eeD7Da5414FabB5938d3687dDc9013feA9,Kanstar
112,0x8E63178780eA773C43822bf8DA2238ae6869ACaB,Kanstar
113,0xCaC600b9F3c37f4b151556b3F43A3e034cef0B45,Kanstar
114,0x4d1a614d977E3d1c934E6cC2Fb46Da311011Ec6a,Kanstar
115,0xB7fc617Da6546febfC31dfc8283B8588E192B3ec,Kanstar
116,0x5342712163626F9D7A787E88De68e49e03B3be2e,Kanstar
117,0x3EfF56eeD7Da5414FabB5938d3687dDc9013feA9,Kanstar
118,0x51422AA977464690f786db8ADC042394F5Ef6653,Kanstar
119,0x1c9f852E5104b3ded14179b20fA743b417475966,Kanstar
120,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
121,0x7864Fdb6212e78B3dDa9Dcc94F29de4076442bC1,Kanstar
122,0xEEBa9bC5571b43F1CA69fF6B34B5f26f8B1b2151,Kanstar
123,0xA52ee9458d9542487e5cF8E2f72F0E39a7e11ae4,Kanstar
124,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
125,0xFC60750C91fD4090151ed42c5E88FF94e25E3f40,Kanstar
126,0x8E63178780eA773C43822bf8DA2238ae6869ACaB,Kanstar
127,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
128,0xE836935d1Ec507D13A94e8d0a7461AB371Dd5f6E,Kanstar
129,0x266a2bA1051a6C1eb57b9d8A208668386250D5ea,Kanstar
130,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
131,0x088771a64D950229020D91513A071F3429944261,Kanstar
132,0x088771a64D950229020D91513A071F3429944261,Kanstar
133,0x5468dc442f5FB4EAad8F1325f212f9d6512CeA25,Kanstar
134,0x8A2E1430c8302dfB576a9Ca74B25EAAA1A5F121D,Kanstar
135,0x0C2f5a5931a9Cd50C9D22832bD5748A6FEe5F849,Kanstar
136,0xFcD29A0cdd8d0f833CE2c4A462C2442D0219b263,Kanstar
137,0xEEBa9bC5571b43F1CA69fF6B34B5f26f8B1b2151,Kanstar
138,0x088771a64D950229020D91513A071F3429944261,Kanstar
139,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
140,0xFE80dB515CfF56688327A4e692F1C811240bB024,Kanstar
141,0x3Ce72373BAb44fC6Eed61e347f055c87c491ac46,Kanstar
142,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
143,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
144,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
145,0x266a2bA1051a6C1eb57b9d8A208668386250D5ea,Kanstar
146,0x1E4Ee0f9B926be0552d1B5DD22C29297050a5519,Kanstar
147,0xd6aA503e36b10D0BD4a54b0da2013BEA74Fb373d,Kanstar
148,0x088771a64D950229020D91513A071F3429944261,Kanstar
149,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
150,0x3F86f18322a888d9b3adef38f127c941bCcc014D,Kanstar
151,0x75f119589D1ed65EffE909EE910a8200F04797d3,Kanstar
152,0x76f27F3739DF14fb6Bb6F69e7cc8246565fbEceD,Kanstar
153,0xBBFAb282E82d64ec47A0B177ac9164d19b7811C7,Kanstar
154,0x3d494371A362292AD133b7f894d787c73b05a685,Kanstar
155,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
156,0x75f119589D1ed65EffE909EE910a8200F04797d3,Kanstar
157,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
158,0x71DB48108f561C16Dd37c14f623e54f4fFB0a5c6,Kanstar
159,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
160,0x5063Ec7969747D08FFb94E742BB503b788C77633,Kanstar
161,0xabF9b5798F407beb10BdE4A00F723a4f37F428C7,Kanstar
162,0x97E828D07D21C2626Fce0A24236F72DB5FEDAaD5,Kanstar
163,0x9B3d6073dce3Ce4Ac2431a27031bdDeCA5A38938,Kanstar
164,0x69099FCD1aCEE9601372e434D514AD8A692be4B8,Kanstar
165,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
166,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
167,0x422ED09461D5e7Dfa5ea2198DaE54C267E448115,Kanstar
168,0x8b1288D2b2e357d80EF8E01B1880D01f601e0917,Kanstar
169,0x088771a64D950229020D91513A071F3429944261,Kanstar
170,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
171,0x3EfF56eeD7Da5414FabB5938d3687dDc9013feA9,Kanstar
172,0x1Aac63418FE4FFDfc1156deAFD6B3960B8371183,Kanstar
173,0xD87ddC75bfDA0585362C2FeaB12Eb774AaF2430d,Kanstar
174,0x3Fc00f8964cc190063398a3B6F75e848b18cCbD3,Kanstar
175,0xE9e03cD23d725c4a507B9341c1fC1E7319735021,Kanstar
176,0xd79Ef6922161c2cD953D7094f320F8C0a55586DF,Kanstar
177,0xFAf09FA86EC5de27349cB7B0aA167D43EE759054,Kanstar
178,0xe65403D9d80e501e784199fCC543419f5BCF2BD5,Kanstar
179,0x69099FCD1aCEE9601372e434D514AD8A692be4B8,Kanstar
180,0xd79AC5D47dC7D6037cB57CE80BFe08AAb671014b,Kanstar
181,0x99899809997592422780743Ff5A570B57d223251,Kanstar
182,0xeD4e0FB69e6f28f1617e46E4600Cd5358EB723eF,Kanstar
183,0x76f27F3739DF14fb6Bb6F69e7cc8246565fbEceD,Kanstar
184,0xC9B2C41Bc0D78bc97d2dE1127Ee7EFaec3516338,Kanstar
185,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
186,0x8272dF2389fcb204849c42F007EbD9b56E9df432,Kanstar
187,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
188,0xC9B2C41Bc0D78bc97d2dE1127Ee7EFaec3516338,Kanstar
189,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
190,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
191,0x3d494371A362292AD133b7f894d787c73b05a685,Kanstar
192,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
193,0x25DB163944e906CAF7Deb855B643bcD5Cc75DA74,Kanstar
194,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
195,0xB7fc617Da6546febfC31dfc8283B8588E192B3ec,Kanstar
196,0x6d14761b2f7180cB554820b04d3f5b35a00d672A,Kanstar
197,0x6ea0c5680d2Cd7A4f2632f5EeBE647f53afe2BF5,Kanstar
198,0xfd37A384710F3F25Be046D1Dd158dBf089Fd3a63,Kanstar
199,0xEEBa9bC5571b43F1CA69fF6B34B5f26f8B1b2151,Kanstar
200,0x39C9EC938AA3a5B2B25d1A8c25aff358335C77cb,Kanstar
201,0x3EfF56eeD7Da5414FabB5938d3687dDc9013feA9,Kanstar
202,0x71DB48108f561C16Dd37c14f623e54f4fFB0a5c6,Kanstar
203,0x143eBF751e8d3fBd326E41f46E0E56EC5d368674,Kanstar
204,0x088771a64D950229020D91513A071F3429944261,Kanstar
205,0x69099FCD1aCEE9601372e434D514AD8A692be4B8,Kanstar
206,0x1e3055B04C194d5E53D9939a1c55898648c9A1C8,Kanstar
207,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
208,0x3F86f18322a888d9b3adef38f127c941bCcc014D,Kanstar
209,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
210,0x1aDcA7b7111De96c56a6c134cb85C1C7Df3ef2F6,Kanstar
211,0x052627587c7fEDb75210E3f8f30Ea8e6d6bbaf23,Kanstar
212,0xDF2Ff905e999B182fBb8429e3aA05663D3320D34,Kanstar
213,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
214,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
215,0x088771a64D950229020D91513A071F3429944261,Kanstar
216,0xCA44E6673543be1304F35E074FAAbEad9bf68Ca3,Kanstar
217,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Kanstar
218,0xe15DbfA5d3388F9bEC59af0812791f84f81797dD,Kanstar
219,0x3cC38B373543F0e93F3c374491a2C006CCa3a1e5,Kanstar
220,0x5468dc442f5FB4EAad8F1325f212f9d6512CeA25,Kanstar
221,0xd5D1Eff35ad417726d54A00F0d157fF359D21BBb,Kanstar
