Delegator Address,Validator Address,Staked Amount
0x7d7ee27f6d261a715ab78f78b0314c861327f658,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,500000000000000000000
0x083e67b0720a85833d72718c13bd1d796ce025e9,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,10000000000000000000
0x825e959d0baa44f22d3c571d9b498ed03235641a,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,2000000000000000000000
0x65e3639a05d0ccec7a5138bda2bd506b69a86148,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0xba8e4dc399589e5249ce4b326987721adc3c9441,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,5000000000000000000
0x7fac0d32fd681849273da884013c9e03bd50dab2,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0xc1964228f91142310948cea3c8057897eca80e11,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,200000000000000000000
0x8ed51abd071d6973b03c4014fc334162fd684433,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,25000000000000000000
0x6609867d7bb67a1ce2ff3dd6909adf5bcb83906b,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0x8ac8197b83951ae99c2eadbd82c36818aac53b76,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,200000000000000000000
0xd6b78b65912e96fc19efa8f8a2b8fcb9ef0d9f51,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,105000000000000000000
0x41b511f1496322eadc13374f3a70b197040faecc,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,200000000000000000000
0x31b9603e937c0a305a2d972b775d3a60d8dcdc87,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,925000000000000000000
0x6d6c455f048809e20f578eaf7f3fcfa77a2f0578,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,111000000000000000000
0x397a292db9360b6fbe2c0fcb6abec7668c98b57b,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,40000000000000000000
0xa22904df17be81ca30a6ac9a67b74a3611a23653,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,21000000000000000000
0x3031cbe2906bd83ef7f157a8d8b8efbd1521f51c,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,172000000000000000000
0xa2d302baeb8a1ca5b7fd013f28d2839b44117500,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,25000000000000000000
0x983db398a9199249b129b47698c0994b5125456b,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,50000000000000000000
0x344cb8c57fa355deca0ebc4b751b7d9702759e2a,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,10000000000000000000
0x28185782106090bfd6bdc9304012f57fd2b5f161,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0xae3f3beaef416f59a203b3f595543c8ef9e02dca,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0xa35d73b34887c1541b028a9d6985d36d0b8ac9c1,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,1500000000000000000000
0x4f9d96a765dc0790fcea8f14528e2cff36b5466d,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,2000000000000000000
0xa595e99e4933cdb6900877cf76ce8f011417e2c9,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,28000000000000000000
0xa1b6025c101f6a9e9f3288608685951c6c14854c,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,16006389880000000000
0x7386a19b38074e97ef10107fb27e681b7bce4280,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,10000103617212141686
0x927718c234e6d4726a35055e0c76a9a1ab7c61d6,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,10000000000000000000
0x8e4adda510df33bfe42d38b482f6c02c24326caf,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9900000000000000000
0xe02bbe4eed09c74a42ba2f70c78f65d6cc0db6dc,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,10350000000000000000
0x383caf7d782444cc73905ce6d87b5989257c8129,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,54000000000000000000
0x2adf38714ce8f6db156ec093fa890a4fdca4ea59,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,25000000000000000000
0xadb79b4c976b7cb564eaa727f324deab2318f0f2,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,15000000000000000000
0x095219f1fe954086224a6d784797188ccdbcb4bb,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,300000000000000000000
0x3e1fab042c6c7ff1b529b60500b03866c5e51128,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,50000000000000000000
0x37e59f9be04fdd3dbc79e567291a5e3da23f750f,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,11285204079824711122
0x285c4aad162a8e299fb96aefa6e2926f94b05cb4,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,12958729068670779933
0x1ac3ff4fceff6d53ae791d946d7cfd41a91ce53b,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,10000000000000000000
0x376b56c6ebc41026cee4a67a39dbacda232efa47,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,231678578276668318960
0xe7e0e7a228bd276d5b237087d09fbd67f507fee7,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,101000000000000000000
0x6610cb7f7aa2ae13f4a5937c5c39adc2356b23de,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,10000000000000000000
0xd69fd97d7b84f7b88e7c3a058a47258813d9f301,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,21469472931276382186
0x39c09ee3a4b74b53978db47866528fe8ea8c61cb,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,150000000000000000000
0x5d1bb0f85e2f9ad73db069c214af95638a906e8b,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,101000000000000000000
0x98cf3a1e10d12993d34d5bbd262da32f19ef4ced,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,49902079287487251472
0xae92fd2ee9d74b9a55ad30f64290bdf40fb21dd4,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,34907933017779743799
0xb16eef6bfcb9efcc9ec93f2971bb72084c93a190,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,50000000000000000000
0x36175b2c13e39de1a79583fa3476d124dc8dfb70,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,100000000000000000000
0x0aafc49cd63f381133bdba6f36aaf5f971aae69a,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,200000000000000000000
0x2c3efd9aa3a047c978e725ca78ea7b2d490554ea,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,119000000000000000000
0x8303972657fb774a66341d55173e397442a00d9d,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,9920620223189929740466
0x42f1a0bd63300ae528d23cfa653c26bcd3c5d711,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,31121286582466926786
0xc20e4338d54b84d0f5a5eeb2b6c0e54fe8edacf0,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,5000000000000000000
0xe68f935cf5806190182b541b19999c8eb9a91945,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,155000000000000000000
0x5f71072ba6126acfcf14db4573da14909a9beabc,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,101000000000000000000
0xa39f24c3f459eaeca8aa847a3caa04a4f42a827e,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,4332014843872082198
0x31983182b76b81225abc8c8df5bad51f924146bc,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,15000000000000000000
0x0c2770a904ed9f390670af6570ab5a4578331f0c,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,300000000000000000000
0x8055e02b6f87944d0edbbf4daad3462eca5f7178,0xbc40aaac5f7c95075deff7e7ecab2e0a818f6991,300000000000000000000
