Delegator Address,Validator Address,Staked Amount
0xe38b7b00b449ad2cf57c8c1a0dfc6fbfaf245748,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,8592000000000000000000
0xa1c85378b557f6dd6ba1b30fff559ebbf83910fc,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,137425553426963433205
0x7e761a295b9492286140260f0814d2dd2c17c0b4,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,525945704584000604664
0x7aee2ff6c7c5b1dc4964f0120ceb065e1417ae34,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,303145347071136365140
0x1c90ebcbb8fbd0d87c53d44df032cb302f5185d8,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1210457164090719257597
0x679278fe5fedba5e34fe48d09dc4d02d76e95ac3,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3750000000000000000000
0x0021a409a24247831da3b3b823e61999c6794897,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,14000000000000000000
0xbd9354f337d42d4ae5b12c671f6f27f2cbb33adb,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,28000000000000000000
0xadd9506ba49652363cbe7360c77c7fb429f5b1e9,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,11091365802067047880113
0xb88e243abbd307fc2bc0490fad5e5652ff1add0e,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,792123677233516451830404
0x34aca867e9d3b3135036465bf8a0cf0f2a961466,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,686263349070314080468
0x686bb228a657c945ea4246a230e38be2473645e7,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,21933990342184235153475
0x2ac94f03349af46b8b0e270efaca3b459144f919,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,22000000000000000000000
0x062baf2d463ac139dc1b31d6cb681c008cdd03c3,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,760971883603433519178
0xa55611e817084ad393875479c0e2e9ac34499eb7,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,40349177595534848898
0xfdf9159340b323345e0ef90e7c065cf0f313150f,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,140000000000000000000
0x9834f0a5c42e79912ae4ba94ae8a26a8d6d87db1,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,50000000000000000000
0xed426c4bf84a10b4c27bcead9fe2aad9192372c6,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100000000000000000000
0x68b8d56b1c9a007e27278e78f110235d0368cd4c,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,18000000000000000000
0xbf554d2a828a18bc0eb39ccf1a6e22ab5c807bb5,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,27000000000000000000
0x3bcdb31c04e47dc555b576003fd12dc6fe714e6d,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10001950000000000000000
0x192da1b47384856ac6c6d30296938ad29dd0de22,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10001950000000000000000
0x6b7ba903732c8947d6fb00823fd1570346dd124a,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10001500000000000000000
0x97689faad778caab9b17968ccca9eb2ef8686a99,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3000000000000000000
0x24ad59c7fe95fbeed9a72b82732b0154c47dec10,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1846508955896489640093
0xb2b6b0f40ef36d920bf642bc3c0731199a664a43,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,2095152685093720629885
