Delegator Address,Validator Address,Staked Amount
0xa47453381789b55631a54cb5dfa222bd8db830ff,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,2000000000000000000
0x1e9460c846eb4b560714fec689d7aa299f2d1748,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1299181116724393003
0x39da777b8a0043a8dbb86fa23f7903fd1a05195a,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,101000000000000000000
0x97169839c817dd38382b497d1552a7e61b33d995,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,80000000000000000000
0xb0f3efd270023b5c4cdf311e01a0d5611ce66afb,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100000000000000000000
0x29e860e4851daa5b30190114a668c2af9f45e9dd,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,309000000000000000000
0x7780cf3effc51853e8212cb01c4b9f5914f16bde,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,101000000000000000000
0xb16eef6bfcb9efcc9ec93f2971bb72084c93a190,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,50000000000000000000
0x1d4f8ac92e537de98d82716b59a409797a0beaaa,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,20472582978273268524
0x0f5b4c04a55b17300759183f835f2e00b1255382,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,2000000000000000000
0xacf761d6e8f702fae252c2e294306ee4a5dddf4b,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100000000000000000000
0xf478e54f3674f1b07d4f051b55bf34dbaa7d2a12,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,20999999000000000000
0x60cea8c2988e8bef69adfe3dbd64187707bbb770,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,36862003058389461875
0xd3d1c52d629c4e0f50f3e0fe9b1160518f5b2b71,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,18137064578133310000
0x4373ab533efeccb8d7223f2ee1403f60b864ef1c,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10000000000000000000000
0x46c866caf5a718ab3ef9096ca437df8843ee3d8e,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,30090000000000000000000
0x28083cad48d28e291bfab514d2af41543f043807,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,504400000000000000000
0x4a26fe89750d75134cdb71683b1adc9a3917d1e5,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,4747153809189010689
0xd39706a0253c3e4719eed39408dae46b9524dbec,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,60400000000000000000000
0x82ad7e618ce91dca031e372e2dc26429627dbfe7,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100000000000000000000
0x7d810bbbf977aa6b7125da21ba669dd55ba02a39,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,106250000000000000000
0x738ea62b1795229d0727dccb82d2f7d155cf7acc,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3000000000000000000
0x998aed58c8efb7be00ab845ef3dedbb8412bbac0,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,68490000000000000000
0x8687e40fb742a31cb012580012d215dadfde4df7,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,20099758361459868371
0xf76b17f1f8ef6e6c40a2f6590d9a0ebdd2f94429,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,776556886467661084438
0xf1a6fcaaca5d24340910724309b36d4f0a4c58e2,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,200000000000000000000
