Delegator Address,Validator Address,Staked Amount
0x3d8575e9d2b984a5c7163c012533333e28446332,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,101000000000000000000
0xf3c50eab250aa38d19a4df009079450ba5c0aabf,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10000000000000000000
0xe77928dc8e61dd02db98a9ec59a22cc6923fcc7e,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,200000000000000000000
0x2cd15b5885947aa91543f0d9934bd9374a65ea7f,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,200000000000000000000
0x8811bd0ee3e61cd3b2d8a39d1f071555ca5c4a1d,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1000000000000000000000
0x11ec9825e87f185d8004253238b6a6a4df7cc8bd,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,200000000000000000000
0x226749f7f520145a01718af9e7ab50339b6d0f82,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100000000000000000000
0x89c2dfcc6103968344179c8e230806b21da8f9d8,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,200000000000000000000
0x76a1fd406c9122cc9d94ac4083709dfdccb2e646,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,200000000000000000000
0xf73dd954d0354a3dc492b93c3a75483ad33f15f1,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1100000000000000000000
0x73c1b459670c7fde8130959b498bb9fcd4d5d907,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10000000000000000000
0xbb3eab48eb1ca0cc60fdebd01bc1137216477378,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,17000000000000000000
0xe8164f2e81e44764f14344bfd52d84caa3ee9912,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,200000000000000000000
0xb25353525ac9a83b04a855e4b36526df999e7702,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1000000000000000000000
0xe3d4ea621762e0b86e2677e1160bf07a8715a4f5,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,75391452293014586716
0x20b4c32d98ccb6fdc68910b6e06c5c144ada8a12,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100000000000000000000
0x97e828d07d21c2626fce0a24236f72db5fedaad5,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1000000000000000000000
0x1657c15b4bf5dcfbaa34437bd93b8d7a39c12630,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,20000000000000000000
0xf09d29fc26a7e50cb1771d648385c3eb670814db,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,151457788339387135953
0x3a9300a1e2ec0023a06426ac6c53076821a09449,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3540000000000000000
0x5d267cb2bf5b71e063823cc08f05a438825d702c,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,51000000000000000000
0x98ae8d7f079ca44dd065534b0ba7e1083b6d3d32,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,20000016893290669201586
0x54fcbf6b3b106cd0ad9f2f2fa2a1eeedbd15852f,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,25552987654458436008535
0x796354d8b80353203878f7366b6aa3be16a6c66b,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1000000000000000000
0x2f81e5223ad19ca0ac56e09ac8751947a587e734,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,7000000000000000000
0x9de3ac6bdc8931a75e18194a9566957ecea424e3,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100000000000000000000
0xbe15eec5177f06d02280b3a22977a9549945fba3,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,546467928861843487427
0x98cc5e5c2a2c2e1e7e1a414da88a96e1624662a3,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,180000000000000000000
