Token ID,Owner Address,Attribute rank,Attribute specie
341,real_owner_address,,
342,real_owner_address,,
343,real_owner_address,,
344,real_owner_address,,
345,real_owner_address,,
347,real_owner_address,,
348,real_owner_address,,
349,real_owner_address,,
350,real_owner_address,,
351,real_owner_address,,
352,real_owner_address,,
353,real_owner_address,,
354,real_owner_address,,
355,real_owner_address,,
358,real_owner_address,,
360,real_owner_address,,
363,real_owner_address,,
364,real_owner_address,,
365,real_owner_address,,
366,real_owner_address,,
368,real_owner_address,,
369,real_owner_address,,
370,real_owner_address,,
371,real_owner_address,,
372,real_owner_address,,
373,real_owner_address,,
375,real_owner_address,,
377,real_owner_address,,
378,real_owner_address,,
379,real_owner_address,,
380,real_owner_address,,
382,real_owner_address,,
383,real_owner_address,,
385,real_owner_address,,
386,real_owner_address,,
388,real_owner_address,,
389,real_owner_address,,
390,real_owner_address,,
391,real_owner_address,,
392,real_owner_address,,
393,real_owner_address,,
397,real_owner_address,,
398,real_owner_address,,
399,real_owner_address,,
400,real_owner_address,,
401,real_owner_address,,
402,real_owner_address,,
403,real_owner_address,,
404,real_owner_address,,
405,real_owner_address,,
406,real_owner_address,,
407,real_owner_address,,
408,real_owner_address,,
409,real_owner_address,,
410,real_owner_address,,
411,real_owner_address,,
412,real_owner_address,,
413,real_owner_address,,
414,real_owner_address,,
415,real_owner_address,,
416,real_owner_address,,
417,real_owner_address,,
418,real_owner_address,,
419,real_owner_address,,
421,real_owner_address,,
422,real_owner_address,,
423,real_owner_address,,
424,real_owner_address,,
425,real_owner_address,,
426,real_owner_address,,
429,real_owner_address,,
430,real_owner_address,,
431,real_owner_address,,
432,real_owner_address,,
433,real_owner_address,,
436,real_owner_address,,
438,real_owner_address,,
439,real_owner_address,,
440,real_owner_address,,
441,real_owner_address,,
442,real_owner_address,,
443,real_owner_address,,
444,real_owner_address,,
445,real_owner_address,,
447,real_owner_address,,
448,real_owner_address,,
450,real_owner_address,,
451,real_owner_address,,
452,real_owner_address,,
453,real_owner_address,,
454,real_owner_address,,
455,real_owner_address,,
456,real_owner_address,,
457,real_owner_address,,
459,real_owner_address,,
461,real_owner_address,,
462,real_owner_address,,
464,real_owner_address,,
465,real_owner_address,,
466,real_owner_address,,
468,real_owner_address,,
469,real_owner_address,,
470,real_owner_address,,
471,real_owner_address,,
474,real_owner_address,,
475,real_owner_address,,
476,real_owner_address,,
478,real_owner_address,,
479,real_owner_address,,
481,real_owner_address,,
482,real_owner_address,,
483,real_owner_address,,
484,real_owner_address,,
485,real_owner_address,,
486,real_owner_address,,
487,real_owner_address,,
488,real_owner_address,,
489,real_owner_address,,
490,real_owner_address,,
492,real_owner_address,,
493,real_owner_address,,
494,real_owner_address,,
495,real_owner_address,,
496,real_owner_address,,
497,real_owner_address,,
498,real_owner_address,,
499,real_owner_address,,
500,real_owner_address,,
501,real_owner_address,,
502,real_owner_address,,
503,real_owner_address,,
504,real_owner_address,,
505,real_owner_address,,
506,real_owner_address,,
507,real_owner_address,,
508,real_owner_address,,
509,real_owner_address,,
511,real_owner_address,,
514,real_owner_address,,
515,real_owner_address,,
516,real_owner_address,,
517,real_owner_address,,
518,real_owner_address,,
519,real_owner_address,,
520,real_owner_address,,
521,real_owner_address,,
522,real_owner_address,,
523,real_owner_address,,
524,real_owner_address,,
525,real_owner_address,,
526,real_owner_address,,
527,real_owner_address,,
528,real_owner_address,,
529,real_owner_address,,
530,real_owner_address,,
531,real_owner_address,,
532,real_owner_address,,
533,real_owner_address,,
535,real_owner_address,,
536,real_owner_address,,
537,real_owner_address,,
538,real_owner_address,,
539,real_owner_address,,
540,real_owner_address,,
541,real_owner_address,,
542,real_owner_address,,
543,real_owner_address,,
544,real_owner_address,,
545,real_owner_address,,
546,real_owner_address,,
547,real_owner_address,,
549,real_owner_address,,
551,real_owner_address,,
554,real_owner_address,,
555,real_owner_address,,
557,real_owner_address,,
558,real_owner_address,,
560,real_owner_address,,
561,real_owner_address,,
563,real_owner_address,,
565,real_owner_address,,
566,real_owner_address,,
567,real_owner_address,,
568,real_owner_address,,
569,real_owner_address,,
570,real_owner_address,,
571,real_owner_address,,
572,real_owner_address,,
573,real_owner_address,,
574,real_owner_address,,
575,real_owner_address,,
576,real_owner_address,,
577,real_owner_address,,
578,real_owner_address,,
579,real_owner_address,,
581,real_owner_address,,
582,real_owner_address,,
583,real_owner_address,,
584,real_owner_address,,
585,real_owner_address,,
587,real_owner_address,,
590,real_owner_address,,
591,real_owner_address,,
593,real_owner_address,,
595,real_owner_address,,
596,real_owner_address,,
597,real_owner_address,,
598,real_owner_address,,
599,real_owner_address,,
600,real_owner_address,,
601,real_owner_address,,
602,real_owner_address,,
603,real_owner_address,,
604,real_owner_address,,
606,real_owner_address,,
607,real_owner_address,,
609,real_owner_address,,
610,real_owner_address,,
611,real_owner_address,,
612,real_owner_address,,
613,real_owner_address,,
614,real_owner_address,,
615,real_owner_address,,
616,real_owner_address,,
617,real_owner_address,,
618,real_owner_address,,
619,real_owner_address,,
620,real_owner_address,,
621,real_owner_address,,
622,real_owner_address,,
623,real_owner_address,,
625,real_owner_address,,
626,real_owner_address,,
627,real_owner_address,,
628,real_owner_address,,
629,real_owner_address,,
631,real_owner_address,,
632,real_owner_address,,
633,real_owner_address,,
634,real_owner_address,,
635,real_owner_address,,
636,real_owner_address,,
637,real_owner_address,,
639,real_owner_address,,
640,real_owner_address,,
643,real_owner_address,,
644,real_owner_address,,
645,real_owner_address,,
646,real_owner_address,,
648,real_owner_address,,
649,real_owner_address,,
650,real_owner_address,,
651,real_owner_address,,
652,real_owner_address,,
653,real_owner_address,,
654,real_owner_address,,
655,real_owner_address,,
657,real_owner_address,,
659,real_owner_address,,
660,real_owner_address,,
661,real_owner_address,,
662,real_owner_address,,
664,real_owner_address,,
665,real_owner_address,,
666,real_owner_address,,
667,real_owner_address,,
668,real_owner_address,,
670,real_owner_address,,
671,real_owner_address,,
672,real_owner_address,,
673,real_owner_address,,
674,real_owner_address,,
675,real_owner_address,,
676,real_owner_address,,
677,real_owner_address,,
678,real_owner_address,,
679,real_owner_address,,
680,real_owner_address,,
681,real_owner_address,,
682,real_owner_address,,
684,real_owner_address,,
685,real_owner_address,,
686,real_owner_address,,
687,real_owner_address,,
688,real_owner_address,,
689,real_owner_address,,
690,real_owner_address,,
691,real_owner_address,,
692,real_owner_address,,
693,real_owner_address,,
694,real_owner_address,,
696,real_owner_address,,
697,real_owner_address,,
698,real_owner_address,,
700,real_owner_address,,
701,real_owner_address,,
702,real_owner_address,,
703,real_owner_address,,
704,real_owner_address,,
705,real_owner_address,,
706,real_owner_address,,
708,real_owner_address,,
710,real_owner_address,,
711,real_owner_address,,
712,real_owner_address,,
713,real_owner_address,,
714,real_owner_address,,
715,real_owner_address,,
716,real_owner_address,,
717,real_owner_address,,
718,real_owner_address,,
719,real_owner_address,,
720,real_owner_address,,
721,real_owner_address,,
722,real_owner_address,,
723,real_owner_address,,
725,real_owner_address,,
728,real_owner_address,,
729,real_owner_address,,
730,real_owner_address,,
731,real_owner_address,,
732,real_owner_address,,
733,real_owner_address,,
734,real_owner_address,,
735,real_owner_address,,
736,real_owner_address,,
737,real_owner_address,,
738,real_owner_address,,
739,real_owner_address,,
740,real_owner_address,,
743,real_owner_address,,
745,real_owner_address,,
746,real_owner_address,,
747,real_owner_address,,
748,real_owner_address,,
749,real_owner_address,,
750,real_owner_address,,
751,real_owner_address,,
752,real_owner_address,,
753,real_owner_address,,
754,real_owner_address,,
755,real_owner_address,,
756,real_owner_address,,
757,real_owner_address,,
758,real_owner_address,,
760,real_owner_address,,
761,real_owner_address,,
762,real_owner_address,,
763,real_owner_address,,
764,real_owner_address,,
765,real_owner_address,,
766,real_owner_address,,
767,real_owner_address,,
769,real_owner_address,,
770,real_owner_address,,
771,real_owner_address,,
772,real_owner_address,,
773,real_owner_address,,
774,real_owner_address,,
775,real_owner_address,,
776,real_owner_address,,
777,real_owner_address,,
778,real_owner_address,,
779,real_owner_address,,
781,real_owner_address,,
782,real_owner_address,,
783,real_owner_address,,
784,real_owner_address,,
786,real_owner_address,,
787,real_owner_address,,
788,real_owner_address,,
789,real_owner_address,,
790,real_owner_address,,
792,real_owner_address,,
793,real_owner_address,,
794,real_owner_address,,
795,real_owner_address,,
796,real_owner_address,,
797,real_owner_address,,
798,real_owner_address,,
800,real_owner_address,,
801,real_owner_address,,
802,real_owner_address,,
803,real_owner_address,,
804,real_owner_address,,
807,real_owner_address,,
808,real_owner_address,,
809,real_owner_address,,
811,real_owner_address,,
812,real_owner_address,,
813,real_owner_address,,
814,real_owner_address,,
815,real_owner_address,,
816,real_owner_address,,
817,real_owner_address,,
818,real_owner_address,,
819,real_owner_address,,
820,real_owner_address,,
821,real_owner_address,,
822,real_owner_address,,
824,real_owner_address,,
825,real_owner_address,,
826,real_owner_address,,
830,real_owner_address,,
831,real_owner_address,,
833,real_owner_address,,
835,real_owner_address,,
836,real_owner_address,,
837,real_owner_address,,
839,real_owner_address,,
840,real_owner_address,,
841,real_owner_address,,
842,real_owner_address,,
843,real_owner_address,,
844,real_owner_address,,
845,real_owner_address,,
