Delegator Address,Validator Address,Staked Amount
0x91b74d32f18ef73caea354aae295c7c5b479a39d,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,300000000000000000000
0xee424a4ca9169c465a9dd4a0784250530327a2c4,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,5000000000000000000
0x54ac2ad13abf1acf5230ffe6177d3ce54c946a4a,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,42150000000000000000
0xcde1d44ec70078c81aa95cdd4b8032d8d7cda5c3,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,30500000000000000000
0x16edb1b834cf4811c33ccc0eb9aa7c05ad59a40f,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3861469084419941851
0xea9b5602fbdb3de640f5ce4719b68682a56debf3,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10000000000000000000
0x1aaf9c0e35f92b741250f4b225872aa4ae1b9d21,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,135000000000000000000
0xc02a8310f3348c7ef86c154ccaad9f53d57522e7,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,333000000000000000000
0xce76bff0a4f8da48a7df94ec4fa16f15045a5806,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,468243006619490471194
0x05e19a159117627d7ceb4c77bdb915287a475cc0,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,30000000000000000000
0xffd74db2a749415c2d633450b701fb6f5450e587,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,200000000000000000000
0x043032a2f6e362ecfc12afa8d8dda8733884f332,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10000000000000000000
0x70b8c5874b57a4b31c7428119df268f36e731dab,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,50000000000000000000
0xab74ebd8d699ab2f3c365dd70448287ff4079b87,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,333000000000000000000
0xe0b0373a2afc17f23be2eec50ca4934d02f3f9c0,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,291560505412719580408
0xfca7a42da82b8eff1092e33e3963a730b289c37d,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3000000000000000000000
0x8f73394bf8ad1a5ecb637a7a50dc07ea1004b046,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,6079014821904191083
0x41b511f1496322eadc13374f3a70b197040faecc,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,200474423944426162896
0xfc9155e21003cc1a692c882fb7a1fb8567282456,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1000598846271946839556
0x73649f7c5051e231ff4f619a4b419b0772e4cc5d,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,40000000000000000000000
0x0b31a1ae3903a89446ccd7f730284e7d10148bc4,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,5000000000000000000
0xc8d59b90a6f68e87bc4628a981c20f276df97353,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,65000000000000000000
0x4d7076fed473a97f7be952082663abd33289e5ef,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,350000000000000000000
0xa4c1a1e90fbf9c448c049c476b7b6d530ba4693f,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1150837080733956362550
0x0682e3ad62306972ab41af977ac39819ccbdf99d,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,101000000000000000000
0x97a85ecbc382f0326daf32d3397cf646b01dbcdc,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,50000000000000000000
0xcf5bd94eebe59a635baabf8a8f7719f14aef9dd7,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,50000000000000000000
0x379df571a71c6ae10b85bcba7a895585e8a9c32b,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,300600000000000000000
0x3bd2723281677061741172608527008a1d58249c,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,75000000000000000000
0x530ad114fc9d8f16a54dc2c5738589da1ae8c2d8,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,101000000000000000000
0xba41a44612a6cac54147a0869ad98b7e5856a362,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,50000000000000000000
0xbc9710b51ee887b8ce2c451dd130cb72827a172d,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100000000000000000000
0x71a88960ca5ed0cae9e9480637dfdb9621f2f634,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,333000000000000000000
0x584ec434d9eb0340c5b469e7d006eb7d85eaa19a,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,7683344084939818190
0x4931b507fe0b5a1cf22771bf49248d60f52a0053,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,6730216132634842010
0xc9f93b2c8c4609b4cb0d3d86a018df47642767b0,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10412968572557042103
0x47b34dc76cba1417b5ca185224fd16bb001dc24a,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,11784275167221650033
0x3e3cda5158ca75cb50957536bee6e30faeefe662,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10000000000000000000
0x720d4c19d202e12a526b6577e21ec545e4d33d6a,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10000000000000000000
0xd430afe47d0c5c4b867b24b69f5a695de05eb4bb,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,10000000000000000000
0x39076d58bff2ced1a6430c0826d73dc71448124a,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,20000000000000000000
0xb4d9a3560e98842f127ed6a92f408ef0a37aa047,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3853985209788889235
0x3ad35d0aff522a091ac5b09bfc379c99ce3e0100,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100000000000000000000
0xaf11ac1f8a1b960ada1837e52e30b0b2fce8e172,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,333330000000000000000
0xca1479fc719d93fa7a54a496351f5cfed107a761,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,333609123397794084614
0x4d7939405b812ff636a0996466fae269574e5272,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1001000000000000000000
0x449f9fb02aee02f8b595803c3596f862f610dbaa,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1329000000000000000000
0xdcba72c2551ba68983ab94deff7a4e6e923da094,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1235779729056213557552
0xb0a3c525b2046bff27e94066f542a955dc0baa38,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1500001843041096369348
0x258a59a7052db77a8d231ec3d7f814b07b09d64e,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,150000000000000000000
0x810ff8df9fe80c733e4468c727aa6e97c206d5d5,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1000000000000000000
0x7c75cd07b63e3551cbb003de9beff1d5790a43da,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,19587607270668269498
0xe019c44ed88ff3ef00664db0351792e39470af16,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,102000000000000000000
0xd469e29d044f0e36fa75ebafc4e7534ddce39934,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100000000000000000000
0x8820952ca16f64da3074507ed63588b59038364f,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,110000000000000000000
0xfebc266080fd30380c9bf24941e05c6484ddaafc,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,23353000000000000000000
0x319ff77809306fa4b5b0a9f72fcc0901a36d5b16,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,2000000000000000000000
0x7a8ca5639262500e564d671b4241e4dfc4bbb9e2,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,400000000000000000000
0xf0e60390f16e80dd026cd63a74449f65565ddedf,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,4000000000000000000000
0xaaf119fe9add771c35a479fbcf0c4f36c0b433bf,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,100002645857945794497
0xb49de4e57ffab625056f76ce6df11df9da369326,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,11000000000000000000
0x33118aed328b83752125cfb2dadc6d3212497ae0,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,5160978168163160458134
0x30014ee65297453834de32178f34cb698ba3a3cc,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,14094619818860735876582
0x78f677dc6a98204bfb4d3080741df084d726448d,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3924000000000000000000
0x587b12efd64ffaa7fbb57fa81e3e195f5d7b9adb,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,101000000000000000000
0xadedd835976423b9b113113d24fc9d4c0534a775,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1002000000000000000000
0x0e0abd882948b7d78a9695c16d62753930850f0f,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,740000000000000000000
0x602117978f45e71766a088c9e31a4ba8f1f2d066,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1000000000000000000
0xf470d7a5edf5f76c54d9c3f6603a29165f8cc501,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,500000000000000000000
0xfdf7db782443f4f7507bf9c0d093836cdac8d392,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,2368478926510878971
0x2b831b1b619c8963c78a6991ef5a1aea07dbf515,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,351090217919293535624
0x14cfaa7c537db070d52fa2ef65bd24e850e65ad7,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,2759827586508758867640
0x07d2bbaed402786c3f87d400d7d92857b5c905ef,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,1700000000000000000000
0x0ad319a580858ad4fb4ab9b600274d97e99f90f6,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3168330000000000000000
0xe12cd77f7e8361bc0ddf2c2ef449c49e6fb45f80,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3168330000000000000000
0x12d209faea75d16f9206142f47320e683cafc71f,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,3168330000000000000000
